Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
crazyandcoder/citypicker,https://github.com/crazyandcoder/citypicker,master,1c5adb6e5727129298b27153b91ff3734850631f,3185,636,29/03/2024 13:46:38
apache/sedona,https://github.com/apache/sedona,master,d53f3e2fa670f82a5ed2479119027f8f9c1bdfd9,1758,637,29/03/2024 13:46:38
aosp-mirror/platform_frameworks_support,https://github.com/aosp-mirror/platform_frameworks_support,master,a9ac247af2afd4115c3eb6d16c05bc92737d6305,1661,637,29/03/2024 13:46:43
Chainfire/libsuperuser,https://github.com/Chainfire/libsuperuser,master,5f12e7233d4574c8f1f7a49c591e83b1ed88d374,1564,638,29/03/2024 13:44:34
mplushnikov/lombok-intellij-plugin,https://github.com/mplushnikov/lombok-intellij-plugin,master,bee68c16b8b5f83f04577386945bddeaa7b149da,3109,638,29/03/2024 13:46:38
google/agera,https://github.com/google/agera,master,04045ccbf41ac5fc6806724127b33cbe0dda372c,7210,639,29/03/2024 13:46:38
trello/RxLifecycle,https://github.com/trello/RxLifecycle,master,0dabd1c4322ef320ebdbf2e0fbb16761580a842a,7717,639,29/03/2024 13:46:38
mate-academy/jv-web-practice,https://github.com/mate-academy/jv-web-practice,master,bbd00ed5da220baa5051f55cee811115af6cd60c,0,640,29/03/2024 13:44:34
anggrayudi/android-hidden-api,https://github.com/anggrayudi/android-hidden-api,master,66e2373fea8cfb9dbea522743603ccd45ed2aca2,3397,642,29/03/2024 13:44:34
yhaolpz/FloatWindow,https://github.com/yhaolpz/FloatWindow,master,23d9b7327280b302bbf88a1a4bea9d201b707b59,4158,645,29/03/2024 13:46:38
googlearchive/android-BluetoothChat,https://github.com/googlearchive/android-BluetoothChat,master,d6e5db25764fe94f294eb1b6e9ea521dc2f02c71,991,646,29/03/2024 13:44:34
techops-recsys-lateral-hiring/developer-joyofenergy-java,https://github.com/techops-recsys-lateral-hiring/developer-joyofenergy-java,master,103d11b53412a1320da3d6bd72c43adb501a8312,133,646,29/03/2024 13:46:38
mate-academy/jv-web-servlet-lifecycle,https://github.com/mate-academy/jv-web-servlet-lifecycle,master,7a7e07a3521dbe8e615a9179844781e84bd9ae9c,0,648,29/03/2024 13:44:34
spring-projects/spring-data-commons,https://github.com/spring-projects/spring-data-commons,main,1c8471c384656ec88441867fec666b7e6ee5d9e1,748,648,29/03/2024 13:46:38
kikoso/android-stackblur,https://github.com/kikoso/android-stackblur,main,35696424fcb1bbb561ad5a281270fdc5abd7f1af,3586,649,29/03/2024 13:46:38
mjc-school/stage0-module3-task4,https://github.com/mjc-school/stage0-module3-task4,main,cd03ffdf8836976c450381796537e7af6a2a8cc8,0,650,29/03/2024 13:46:38
Rukey7/MvpApp,https://github.com/Rukey7/MvpApp,master,ff0a6f2eab1d680fb4df9c25b26832e4be1368c4,2343,651,29/03/2024 13:46:47
kangjianwei/LearningJDK,https://github.com/kangjianwei/LearningJDK,master,2fc714adefcfb58e60e72dc1da21d30ff67cd1e9,1478,652,29/03/2024 13:46:38
mate-academy/jv-join,https://github.com/mate-academy/jv-join,master,fd4af5ef6a670d7c399c0345856852f2b88c151a,2,653,29/03/2024 13:44:34
apache/karaf,https://github.com/apache/karaf,main,b4bb75392655c761d923d6229e289a7de27f5126,653,653,29/03/2024 13:44:34
shaunstanislauslau/x7,https://github.com/shaunstanislauslau/x7,master,5f7c2a2b2fc10be19d4c1fef38dc94cb4e46588b,0,654,29/03/2024 13:44:34
ravi2krishna/JavaCalculator,https://github.com/ravi2krishna/JavaCalculator,master,113b8cd92fa2611c8f2e21d8ef963c8515cae355,4,654,29/03/2024 13:44:34
JulienGenoud/android-percent-support-lib-sample,https://github.com/JulienGenoud/android-percent-support-lib-sample,master,ab37ec9395089fb9b571859256e879cdc5d88929,2792,654,29/03/2024 13:46:47
mate-academy/jv-web-intro,https://github.com/mate-academy/jv-web-intro,master,a89f77ac32a9f122a40497cb8e965a7a020f8482,1,655,29/03/2024 13:44:34
doggycoder/AndroidOpenGLDemo,https://github.com/doggycoder/AndroidOpenGLDemo,master,20eedea2af39fbc89ed36ab071872af3c1e65bda,2199,655,29/03/2024 13:46:38
gf-huanchupk/SpringBootLearning,https://github.com/gf-huanchupk/SpringBootLearning,master,30edc0ee4eac7f955e079d2b6489eb4396ff91ab,903,655,29/03/2024 13:46:47
springframeworkguru/spring-rest-client-examples,https://github.com/springframeworkguru/spring-rest-client-examples,master,bf221a5adf014ba26ce0ab379724a768966eca3f,34,655,29/03/2024 13:46:47
exercism/java,https://github.com/exercism/java,main,b983dfc7acd7fde02595e1e353c25c3674255e76,653,655,29/03/2024 13:46:47
wuxudong/react-native-charts-wrapper,https://github.com/wuxudong/react-native-charts-wrapper,master,bde0a106f797e40ec4dd1c86e4dfb688be5082fa,2394,656,29/03/2024 13:44:34
zwwill/yanxuan-weex-demo,https://github.com/zwwill/yanxuan-weex-demo,master,282f4db75fa949b381c426f7cd91584c5b66fd58,3040,656,29/03/2024 13:46:47
IntellectualSites/PlotSquared,https://github.com/IntellectualSites/PlotSquared,main,82f868ae7d60c4848bf14ea0a79bc57e49b20fa6,506,656,29/03/2024 13:46:47
next-step/java-ladder,https://github.com/next-step/java-ladder,master,7200b628f553688422bed3d4c3377ab157d56a10,33,657,29/03/2024 13:46:47
notnoop/java-apns,https://github.com/notnoop/java-apns,master,4b02c9e9196087530590bf6442abbf3c35423216,1791,658,29/03/2024 13:45:43
nisrulz/android-examples,https://github.com/nisrulz/android-examples,develop,3ca3cffbfc1d1f8e64681ff8b16269884aa4bc00,1745,659,29/03/2024 13:46:47
SonarSource/sonar-java,https://github.com/SonarSource/sonar-java,master,472b38fb360ba0a097c48487840d7c29fc6fa597,1083,659,29/03/2024 13:46:47
gothinkster/spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app,master,ee17e31aafe733d98c4853c8b9a74d7f2f6c924a,1250,659,29/03/2024 13:46:47
springframeworkguru/mssc-beer-inventory-service,https://github.com/springframeworkguru/mssc-beer-inventory-service,master,e8df580fbe1171d14b807a167851238d8f45517b,24,660,29/03/2024 13:44:34
gabrielemariotti/RecyclerViewItemAnimators,https://github.com/gabrielemariotti/RecyclerViewItemAnimators,master,1a94e4e69217be8711c12edb6004163b169c00a1,3050,660,29/03/2024 13:46:47
pingfangushi/screw,https://github.com/pingfangushi/screw,master,33fdb4f4821175b82ea6c28fdabd63d6697de059,3638,660,29/03/2024 13:46:47
ata4/disunity,https://github.com/ata4/disunity,master,6c1c3215419faaca427fa8d1e960f13cde76e766,2687,662,29/03/2024 13:46:47
mate-academy/jv-dao-service,https://github.com/mate-academy/jv-dao-service,main,82e65cb240a32cd2c0c5fdb114a64bbbad840771,0,663,29/03/2024 13:46:47
reneargento/algorithms-sedgewick-wayne,https://github.com/reneargento/algorithms-sedgewick-wayne,master,0e7ead4b25d451da17b6f35841b045f0b6b3d07c,2168,663,29/03/2024 13:46:47
spring-guides/gs-serving-web-content,https://github.com/spring-guides/gs-serving-web-content,main,cbde0b3be0fd9830bbf58e254bfbf947efb08294,268,664,29/03/2024 13:46:47
douglascraigschmidt/LiveLessons,https://github.com/douglascraigschmidt/LiveLessons,master,ab121a924b155da1829f39a02ada1767a12c44cc,590,664,29/03/2024 13:46:47
gitblit-org/gitblit,https://github.com/gitblit-org/gitblit,master,8d24e989eb0e3f79cabd63b92f8feb91da8bf818,2237,666,29/03/2024 13:46:47
amitshekhariitbhu/awesome-android-complete-reference,https://github.com/amitshekhariitbhu/awesome-android-complete-reference,master,17d09f05d08f747e6a3a5c90f498c68c0fc73610,2828,666,29/03/2024 13:46:47
google/physical-web,https://github.com/google/physical-web,master,12604319e99b6d6dff451fc5a58a13a271f1dc7a,6007,667,29/03/2024 13:46:47
LuisJoseSanchez/hello-world-java,https://github.com/LuisJoseSanchez/hello-world-java,master,4947e1e9e32f20606f186e5f7267286b848beb3e,14,679,29/03/2024 13:44:34
trtpo/laba1,https://github.com/trtpo/laba1,master,263369b320607ba1a3a61a0bd10c60e032f6f5a4,6,686,29/03/2024 13:45:43
super30admin/Stack-1,https://github.com/super30admin/Stack-1,master,155a70399465410c0bd26d93c57cb02df8086f70,0,688,29/03/2024 13:44:34
QuickBlox/quickblox-android-sdk,https://github.com/QuickBlox/quickblox-android-sdk,master,a255c1bd734f7c4807e1d276c7f4ca93865566a8,420,703,29/03/2024 13:45:43
leafgray/pysonar2,https://github.com/leafgray/pysonar2,master,f33a89c92b786bbdabbe3e32340fad2dd74b4c46,36,704,29/03/2024 13:45:43
hub4j/github-api,https://github.com/hub4j/github-api,main,be680c71e2a107d18b55b1ca606ad67d80eaaa7a,1090,704,29/03/2024 13:45:43
SplashCodes/JAViewer,https://github.com/SplashCodes/JAViewer,master,52be616b03d9440b14a80f5ba53bd93656d48e4c,4598,704,29/03/2024 13:45:43
spinnaker/halyard,https://github.com/spinnaker/halyard,master,98a53ce219a00b9ea82b4553b7b9c51a11b22819,306,705,29/03/2024 13:45:43
andremion/Music-Player,https://github.com/andremion/Music-Player,master,f7cbbfe9fee7d2ec268d62eb25c901f72d4d1778,3514,705,29/03/2024 13:45:43
pentaho/mondrian,https://github.com/pentaho/mondrian,master,f0d737942031ecc89f8a7fe600850ccc463aed51,1117,705,29/03/2024 13:45:43
LaunchCodeEducation/java-web-dev-techjobs-persistent,https://github.com/LaunchCodeEducation/java-web-dev-techjobs-persistent,master,e960426113741f22ab75fc182136f0fc51610c7a,0,706,29/03/2024 13:45:43
